cone_id,x,y,colour
c1,40.2,7,blue
c2,10.2,-4.8,yellow
c3,90.2,8.5,blue
c4,20.1,5.5,blue
c5,0,5,blue
c6,130,-13.5,yellow
c7,50,8.2,blue
c8,80.3,-0.2,yellow
c9,10.5,5.2,blue
c10,60.5,9.5,blue
c11,100.1,-4,yellow
c12,30,-3.9,yellow
c13,140.2,-8,blue
c14,70,0.1,yellow
c15,0,-5,yellow
c16,110.5,3,blue
c17,20.4,-4.5,yellow
c18,120.1,0,blue
c19,40.1,-3,yellow
c20,80.4,9.8,blue
c21,60.2,-0.5,yellow
c22,100,6,blue
c23,140.1,-18,yellow
c24,50,-1.8,yellow
c25,30.3,6.1,blue
c26,110.2,-7,yellow
c27,90.5,-1.5,yellow
c28,70.1,10.1,blue
c29,130.3,-3.5,blue
c30,120.4,-10,yellow
